compound_type,head_sev,tail_sev,bleu4,drop_from_clean,single_head_bleu4,single_tail_bleu4,predicted_additive_drop,interaction_term,rouge_l,meteor,ter,bertscore_f1
head_trunc_tail_trunc,10,10,24.55,4.32,26.13,27.48,4.13,0.19,48.52,46.34,66.19,52.89
head_trunc_tail_trunc,10,20,21.15,7.72,26.13,24.2,7.41,0.31,45.56,41.99,67.68,49.76
head_trunc_tail_trunc,10,30,18.25,10.62,26.13,20.73,10.88,-0.26,42.78,38.38,69.33,46.54
head_trunc_tail_trunc,10,40,14.87,14.0,26.13,17.65,13.96,0.04,38.43,32.93,72.25,42.32
head_trunc_tail_trunc,10,50,12.62,16.25,26.13,15.24,16.37,-0.12,35.02,29.33,74.49,38.94
head_trunc_tail_trunc,20,10,19.97,8.9,21.5,27.48,8.76,0.14,43.07,40.09,70.77,47.59
head_trunc_tail_trunc,20,20,16.67,12.2,21.5,24.2,12.04,0.16,39.92,35.93,72.44,44.49
head_trunc_tail_trunc,20,30,13.74,15.13,21.5,20.73,15.51,-0.38,36.5,31.33,74.79,40.88
head_trunc_tail_trunc,20,40,10.78,18.09,21.5,17.65,18.59,-0.5,32.39,26.65,77.69,36.65
head_trunc_tail_trunc,20,50,8.55,20.32,21.5,15.24,21.0,-0.68,29.3,23.31,79.88,33.55
head_trunc_tail_trunc,30,10,17.23,11.64,18.86,27.48,11.4,0.24,38.99,35.19,73.03,43.62
head_trunc_tail_trunc,30,20,14.11,14.76,18.86,24.2,14.68,0.08,36.26,31.49,74.11,40.34
head_trunc_tail_trunc,30,30,11.39,17.48,18.86,20.73,18.15,-0.67,32.97,27.29,76.5,36.98
head_trunc_tail_trunc,30,40,8.57,20.3,18.86,17.65,21.23,-0.93,28.27,21.96,80.56,31.83
head_trunc_tail_trunc,30,50,5.18,23.69,18.86,15.24,23.64,0.05,23.72,17.35,84.52,27.44
head_trunc_tail_trunc,40,10,13.29,15.58,15.53,27.48,14.73,0.85,34.45,30.19,76.21,39.5
head_trunc_tail_trunc,40,20,9.68,19.19,15.53,24.2,18.01,1.18,30.73,25.39,78.79,35.09
head_trunc_tail_trunc,40,30,7.7,21.17,15.53,20.73,21.48,-0.31,27.22,21.48,81.46,31.52
head_trunc_tail_trunc,40,40,5.09,23.78,15.53,17.65,24.56,-0.78,22.84,16.9,86.08,26.25
head_trunc_tail_trunc,40,50,1.65,27.22,15.53,15.24,26.97,0.25,17.8,11.38,91.1,20.79
head_trunc_tail_trunc,50,10,9.29,19.58,12.78,27.48,17.48,2.1,29.54,24.52,80.17,34.33
head_trunc_tail_trunc,50,20,5.93,22.94,12.78,24.2,20.76,2.18,25.21,19.79,83.58,29.67
head_trunc_tail_trunc,50,30,3.98,24.89,12.78,20.73,24.23,0.66,21.89,15.8,86.44,25.86
head_trunc_tail_trunc,50,40,1.47,27.4,12.78,17.65,27.31,0.09,17.15,11.1,91.45,20.38
head_trunc_tail_trunc,50,50,1.5,27.37,12.78,15.24,29.72,-2.35,17.66,11.52,91.03,21.12
head_trunc_tail_contam,10,10,23.65,5.22,26.13,25.96,5.65,-0.43,48.17,47.41,70.93,52.86
head_trunc_tail_contam,10,20,20.79,8.08,26.13,22.94,8.67,-0.59,45.5,45.86,79.0,49.89
head_trunc_tail_contam,10,30,17.94,10.93,26.13,20.17,11.44,-0.51,42.63,43.45,87.14,47.27
head_trunc_tail_contam,10,40,15.23,13.64,26.13,17.03,14.58,-0.94,39.13,41.11,98.37,43.6
head_trunc_tail_contam,10,50,13.61,15.26,26.13,15.52,16.09,-0.83,36.01,39.11,105.9,40.47
head_trunc_tail_contam,20,10,20.58,8.29,21.5,25.96,10.28,-1.99,43.57,42.04,75.49,48.2
head_trunc_tail_contam,20,20,17.55,11.32,21.5,22.94,13.3,-1.98,41.24,40.23,83.45,45.65
head_trunc_tail_contam,20,30,15.09,13.78,21.5,20.17,16.07,-2.29,38.12,38.18,91.11,42.59
head_trunc_tail_contam,20,40,13.64,15.23,21.5,17.03,19.21,-3.98,35.66,36.82,98.73,40.12
head_trunc_tail_contam,20,50,11.87,17.0,21.5,15.52,20.72,-3.72,32.69,34.81,106.23,36.93
head_trunc_tail_contam,30,10,17.78,11.09,18.86,25.96,12.92,-1.83,39.71,36.71,76.14,44.35
head_trunc_tail_contam,30,20,15.42,13.45,18.86,22.94,15.94,-2.49,37.03,35.19,84.83,41.64
head_trunc_tail_contam,30,30,13.16,15.71,18.86,20.17,18.71,-3.0,35.06,34.2,91.96,39.06
head_trunc_tail_contam,30,40,10.83,18.04,18.86,17.03,21.85,-3.81,31.39,31.27,99.94,35.4
head_trunc_tail_contam,30,50,9.64,19.23,18.86,15.52,23.36,-4.13,29.43,29.71,104.92,33.21
