sample_name,T_original,robustness_score,fails_first_at_condition,fails_first_at_severity
test/25October_2010_Monday_tagesschau-17,181,50,none,none
test/25October_2010_Monday_tagesschau-24,150,40,head_trunc,50
test/15December_2010_Wednesday_tagesschau-37,198,20,head_trunc,30
test/10March_2011_Thursday_heute-58,130,50,none,none
test/14August_2009_Friday_tagesschau-62,111,0,head_trunc,10
test/14August_2009_Friday_tagesschau-73,129,40,tail_trunc,50
test/14August_2009_Friday_tagesschau-75,57,40,head_trunc,50
test/26January_2010_Tuesday_heute-105,101,30,head_trunc,40
test/26January_2010_Tuesday_heute-106,63,40,head_trunc,50
test/01November_2010_Monday_tagesschau-133,117,30,tail_trunc,40
test/01November_2010_Monday_tagesschau-136,86,50,none,none
test/01November_2010_Monday_tagesschau-137,56,10,head_trunc,20
test/08May_2010_Saturday_tagesschau-175,83,0,head_trunc,10
test/08May_2010_Saturday_tagesschau-176,118,30,tail_contam,40
test/24November_2011_Thursday_heute-224,101,50,none,none
test/21August_2011_Sunday_tagesschau-263,148,40,tail_trunc,50
test/22November_2010_Monday_heute-283,89,0,head_contam,10
test/14October_2010_Thursday_tagesschau-287,106,50,none,none
test/14October_2010_Thursday_tagesschau-290,115,0,head_trunc,10
test/14October_2010_Thursday_tagesschau-291,101,50,none,none
test/14October_2010_Thursday_tagesschau-294,130,40,tail_contam,50
test/06April_2010_Tuesday_tagesschau-306,55,10,head_trunc,20
test/12May_2010_Wednesday_tagesschau-323,204,50,none,none
test/12April_2010_Monday_tagesschau-365,128,30,tail_contam,40
test/12July_2010_Monday_tagesschau-373,45,50,none,none
test/12July_2010_Monday_tagesschau-374,136,40,head_trunc,50
test/17February_2011_Thursday_heute-387,91,50,none,none
test/17April_2010_Saturday_tagesschau-399,96,50,none,none
test/17April_2010_Saturday_tagesschau-406,139,0,head_trunc,10
test/01October_2009_Thursday_tagesschau-420,110,30,tail_contam,40
test/01October_2009_Thursday_tagesschau-421,38,0,head_contam,10
test/04May_2010_Tuesday_heute-460,204,0,tail_trunc,10
test/30January_2013_Wednesday_tagesschau-476,145,40,tail_trunc,50
test/07February_2010_Sunday_tagesschau-499,125,50,none,none
test/20October_2011_Thursday_tagesschau-506,62,0,head_trunc,10
test/20October_2011_Thursday_tagesschau-513,104,50,none,none
test/14October_2009_Wednesday_tagesschau-516,123,50,none,none
test/14October_2009_Wednesday_tagesschau-526,115,50,none,none
test/12October_2009_Monday_tagesschau-548,86,30,tail_contam,40
test/12October_2009_Monday_tagesschau-560,31,40,head_trunc,50
test/12October_2009_Monday_tagesschau-561,26,20,tail_trunc,30
test/12October_2009_Monday_tagesschau-562,68,50,none,none
test/12October_2009_Monday_tagesschau-563,54,20,head_trunc,30
test/25February_2011_Friday_tagesschau-568,149,50,none,none
test/09July_2010_Friday_tagesschau-591,177,20,tail_contam,30
test/06October_2010_Wednesday_tagesschau-638,117,20,tail_trunc,30
test/14December_2010_Tuesday_heute-650,94,0,head_trunc,10
test/14December_2010_Tuesday_heute-651,75,0,head_trunc,10
test/11July_2009_Saturday_tagesschau-655,87,50,none,none
test/11July_2009_Saturday_tagesschau-664,72,30,head_trunc,40
test/11July_2009_Saturday_tagesschau-665,107,50,none,none
test/11July_2009_Saturday_tagesschau-667,146,50,none,none
test/31January_2011_Monday_tagesschau-668,89,50,none,none
test/04August_2011_Thursday_tagesschau-712,168,20,head_trunc,30
test/04August_2011_Thursday_tagesschau-713,74,10,head_trunc,20
test/26June_2010_Saturday_tagesschau-724,171,20,tail_contam,30
test/26June_2010_Saturday_tagesschau-725,39,50,none,none
test/19April_2010_Monday_heute-782,44,40,head_contam,50
test/06October_2011_Thursday_tagesschau-823,82,50,none,none
test/06October_2011_Thursday_tagesschau-825,114,40,head_trunc,50
test/04December_2009_Friday_tagesschau-833,93,50,none,none
test/04December_2009_Friday_tagesschau-834,113,30,head_contam,40
test/04December_2009_Friday_tagesschau-835,83,40,head_trunc,50
test/04December_2009_Friday_tagesschau-844,126,30,head_trunc,40
test/04December_2009_Friday_tagesschau-845,85,50,none,none
test/11July_2011_Monday_tagesschau-849,147,40,tail_trunc,50
test/28July_2010_Wednesday_tagesschau-864,82,30,head_trunc,40
test/28July_2010_Wednesday_tagesschau-871,78,50,none,none
test/28July_2010_Wednesday_tagesschau-872,84,20,head_trunc,30
test/23October_2010_Saturday_tagesschau-895,78,50,none,none
test/23October_2010_Saturday_tagesschau-896,88,50,none,none
test/31March_2010_Wednesday_tagesschau-999,100,50,none,none
test/31March_2010_Wednesday_tagesschau-1000,126,40,tail_trunc,50
test/31March_2010_Wednesday_tagesschau-1008,139,20,tail_trunc,30
test/29October_2009_Thursday_tagesschau-1013,99,10,head_trunc,20
test/29October_2009_Thursday_tagesschau-1024,75,40,head_trunc,50
test/27April_2010_Tuesday_heute-1028,185,40,head_trunc,50
test/27April_2010_Tuesday_heute-1038,72,40,head_trunc,50
test/27April_2010_Tuesday_heute-1039,92,40,tail_trunc,50
test/06September_2010_Monday_tagesschau-1147,160,40,head_trunc,50
test/06September_2010_Monday_tagesschau-1153,105,30,tail_trunc,40
test/06November_2010_Saturday_tagesschau-1162,182,30,tail_trunc,40
test/04June_2010_Friday_tagesschau-1173,81,50,none,none
test/04June_2010_Friday_tagesschau-1176,152,30,tail_trunc,40
test/09August_2009_Sunday_tagesschau-1186,100,20,head_trunc,30
test/05July_2010_Monday_tagesschau-1202,66,40,head_trunc,50
test/05July_2010_Monday_tagesschau-1205,103,40,head_trunc,50
test/05October_2010_Tuesday_heute-1218,59,0,head_trunc,10
test/27May_2010_Thursday_heute-1236,79,30,head_trunc,40
test/02August_2010_Monday_heute-1243,120,50,none,none
test/20June_2011_Monday_tagesschau-1249,100,50,none,none
test/20June_2011_Monday_tagesschau-1256,97,50,none,none
test/20June_2011_Monday_tagesschau-1257,140,50,none,none
test/12July_2011_Tuesday_heute-1283,157,20,tail_contam,30
test/02October_2010_Saturday_tagesschau-1300,64,10,head_trunc,20
test/18April_2011_Monday_tagesschau-1314,82,50,none,none
test/22August_2010_Sunday_tagesschau-1344,170,40,tail_trunc,50
test/26October_2009_Monday_tagesschau-1394,114,30,head_contam,40
test/26October_2009_Monday_tagesschau-1402,76,50,none,none
test/26October_2009_Monday_tagesschau-1403,84,10,head_trunc,20
test/13August_2011_Saturday_tagesschau-1412,151,30,head_trunc,40
test/17February_2010_Wednesday_heute-1478,55,10,tail_contam,20
test/17February_2010_Wednesday_heute-1482,134,0,tail_trunc,10
test/08February_2010_Monday_heute-1497,56,0,head_trunc,10
test/08February_2010_Monday_heute-1498,99,0,head_trunc,10
test/08February_2010_Monday_heute-1501,103,50,none,none
test/07April_2010_Wednesday_heute-1619,71,30,head_trunc,40
test/07April_2010_Wednesday_heute-1626,196,20,tail_trunc,30
test/07April_2010_Wednesday_heute-1630,155,40,head_trunc,50
test/18July_2009_Saturday_tagesschau-1634,140,0,head_trunc,10
test/18July_2009_Saturday_tagesschau-1640,92,50,none,none
test/13October_2009_Tuesday_tagesschau-1657,36,10,tail_trunc,20
test/13October_2009_Tuesday_tagesschau-1658,82,20,head_trunc,30
test/13October_2009_Tuesday_tagesschau-1659,27,0,head_trunc,10
test/03July_2011_Sunday_tagesschau-1665,170,20,tail_trunc,30
test/03July_2011_Sunday_tagesschau-1672,131,50,none,none
test/12January_2011_Wednesday_tagesschau-1727,108,10,tail_trunc,20
test/09March_2011_Wednesday_heute-1741,104,10,tail_trunc,20
test/25February_2010_Thursday_tagesschau-1761,111,50,none,none
test/12August_2009_Wednesday_tagesschau-1806,93,50,none,none
test/05November_2010_Friday_tagesschau-1872,161,20,tail_contam,30
test/31May_2011_Tuesday_heute-1904,127,10,head_contam,20
test/28December_2011_Wednesday_tagesschau-1912,180,0,head_trunc,10
test/08December_2009_Tuesday_tagesschau-1938,172,30,head_trunc,40
test/07September_2010_Tuesday_tagesschau-1945,79,50,none,none
test/07September_2010_Tuesday_tagesschau-1954,197,50,none,none
test/11May_2010_Tuesday_tagesschau-1969,94,50,none,none
test/03July_2009_Friday_tagesschau-2014,141,50,none,none
test/03July_2009_Friday_tagesschau-2015,84,10,head_trunc,20
test/30April_2010_Friday_tagesschau-2025,119,50,none,none
test/25October_2010_Monday_heute-2049,206,10,head_trunc,20
test/03February_2010_Wednesday_tagesschau-2054,206,10,tail_trunc,20
test/03February_2010_Wednesday_tagesschau-2056,74,50,none,none
test/03February_2010_Wednesday_tagesschau-2061,59,20,tail_contam,30
test/03February_2010_Wednesday_tagesschau-2062,91,50,none,none
test/03February_2010_Wednesday_tagesschau-2064,104,50,none,none
test/14December_2009_Monday_tagesschau-2088,119,50,none,none
test/14December_2009_Monday_tagesschau-2092,112,50,none,none
test/14December_2009_Monday_tagesschau-2093,80,10,tail_trunc,20
test/18November_2011_Friday_tagesschau-2142,62,40,tail_trunc,50
test/17April_2011_Sunday_tagesschau-2152,97,50,none,none
test/06August_2010_Friday_tagesschau-2178,115,30,head_trunc,40
test/24August_2010_Tuesday_tagesschau-2196,136,30,head_trunc,40
test/30December_2010_Thursday_tagesschau-2232,80,50,none,none
test/05January_2011_Wednesday_tagesschau-2255,115,0,head_trunc,10
test/30October_2009_Friday_tagesschau-2267,139,50,none,none
test/30October_2009_Friday_tagesschau-2273,106,0,head_trunc,10
test/30October_2009_Friday_tagesschau-2274,144,0,tail_contam,10
test/28March_2011_Monday_tagesschau-2285,164,10,tail_trunc,20
test/28March_2011_Monday_tagesschau-2286,63,50,none,none
test/28March_2011_Monday_tagesschau-2287,113,10,head_trunc,20
test/13April_2010_Tuesday_tagesschau-2308,140,0,head_trunc,10
test/13April_2010_Tuesday_tagesschau-2314,66,50,none,none
test/13April_2010_Tuesday_tagesschau-2318,122,50,none,none
test/26September_2009_Saturday_tagesschau-2336,86,0,head_contam,10
test/26September_2009_Saturday_tagesschau-2339,73,0,head_contam,10
test/26September_2009_Saturday_tagesschau-2340,126,40,tail_trunc,50
test/26September_2009_Saturday_tagesschau-2341,169,50,none,none
test/03February_2010_Wednesday_heute-2354,54,0,head_trunc,10
test/03February_2010_Wednesday_heute-2355,26,50,none,none
test/03February_2010_Wednesday_heute-2356,65,10,tail_contam,20
test/03February_2010_Wednesday_heute-2360,44,30,head_contam,40
test/03February_2010_Wednesday_heute-2361,100,40,tail_trunc,50
test/03February_2010_Wednesday_heute-2362,36,20,head_trunc,30
test/14July_2009_Tuesday_tagesschau-2425,32,30,tail_trunc,40
test/14July_2009_Tuesday_tagesschau-2427,82,20,head_trunc,30
test/14July_2009_Tuesday_tagesschau-2430,101,50,none,none
test/14July_2009_Tuesday_tagesschau-2433,77,0,tail_trunc,10
test/10February_2010_Wednesday_tagesschau-2514,68,0,head_trunc,10
test/10February_2010_Wednesday_tagesschau-2515,94,50,none,none
test/10February_2010_Wednesday_tagesschau-2523,109,50,none,none
test/25November_2010_Thursday_tagesschau-2527,187,40,head_trunc,50
test/25November_2010_Thursday_tagesschau-2528,47,0,head_trunc,10
test/12January_2010_Tuesday_heute-2543,112,40,head_trunc,50
test/12January_2010_Tuesday_heute-2544,113,10,head_trunc,20
test/22September_2010_Wednesday_heute-2624,134,50,none,none
test/22September_2010_Wednesday_heute-2625,70,30,head_trunc,40
test/22September_2010_Wednesday_heute-2626,33,50,none,none
test/03June_2010_Thursday_tagesschau-2628,83,0,head_contam,10
test/03June_2010_Thursday_tagesschau-2629,123,30,tail_trunc,40
test/03June_2010_Thursday_tagesschau-2636,131,30,head_trunc,40
test/06July_2010_Tuesday_tagesschau-2657,56,50,none,none
test/06July_2010_Tuesday_tagesschau-2658,91,10,head_trunc,20
test/05January_2010_Tuesday_tagesschau-2667,124,20,head_trunc,30
test/05January_2010_Tuesday_tagesschau-2668,87,50,none,none
test/19January_2011_Wednesday_heute-2690,42,50,none,none
test/01October_2010_Friday_tagesschau-2700,110,50,none,none
test/01October_2010_Friday_tagesschau-2701,91,30,head_trunc,40
test/31January_2013_Thursday_tagesschau-2708,132,40,head_trunc,50
test/31January_2013_Thursday_tagesschau-2713,97,50,none,none
test/03August_2010_Tuesday_tagesschau-2780,119,50,none,none
test/26January_2010_Tuesday_tagesschau-2784,91,50,none,none
test/08February_2010_Monday_tagesschau-2797,148,10,head_contam,20
test/04March_2011_Friday_tagesschau-2838,198,40,head_trunc,50
test/02October_2012_Tuesday_tagesschau-2847,120,40,head_trunc,50
test/02July_2009_Thursday_tagesschau-2860,135,0,head_contam,10
test/22July_2009_Wednesday_tagesschau-2873,161,30,tail_contam,40
