misalignment_type,head_severity,tail_severity,bleu4,bleu4_drop,rouge_l,meteor,ter,bertscore_f1
clean,0,0,28.87,—,53.36,51.78,60.76,57.24
head_trunc,10,10,26.13,-9.5%,49.86,47.95,65.35,54.22
head_trunc,20,20,21.5,-25.5%,44.5,42.06,70.43,49.12
head_trunc,30,30,18.86,-34.7%,40.77,37.1,71.68,45.48
head_trunc,40,40,15.53,-46.2%,36.88,33.17,74.77,41.82
head_trunc,50,50,12.78,-55.7%,33.21,28.99,77.19,38.25
tail_trunc,10,10,27.48,-4.8%,51.68,49.56,62.28,55.72
tail_trunc,20,20,24.2,-16.2%,49.22,45.53,63.64,52.69
tail_trunc,30,30,20.73,-28.2%,45.38,40.99,66.88,48.84
tail_trunc,40,40,17.65,-38.9%,41.41,36.37,69.26,45.25
tail_trunc,50,50,15.24,-47.2%,38.4,32.45,70.76,42.29
head_contam,10,10,25.71,-10.9%,50.84,50.43,67.6,54.7
head_contam,20,20,22.19,-23.1%,47.46,48.52,76.64,51.25
head_contam,30,30,19.5,-32.5%,44.1,46.55,85.56,47.81
head_contam,40,40,17.43,-39.6%,41.68,45.67,93.73,45.82
head_contam,50,50,16.29,-43.6%,40.05,45.14,100.08,44.41
tail_contam,10,10,25.96,-10.1%,51.27,50.58,67.34,55.5
tail_contam,20,20,22.94,-20.5%,48.44,48.92,75.99,52.5
tail_contam,30,30,20.17,-30.1%,45.62,47.33,85.07,49.61
tail_contam,40,40,17.03,-41.0%,41.19,44.49,96.71,45.5
tail_contam,50,50,15.52,-46.2%,38.64,42.32,102.8,43.02
head_trunc_tail_trunc,10,10,24.55,-15.0%,48.52,46.34,66.19,52.89
head_trunc_tail_trunc,10,20,21.15,-26.7%,45.56,41.99,67.68,49.76
head_trunc_tail_trunc,10,30,18.25,-36.8%,42.78,38.38,69.33,46.54
head_trunc_tail_trunc,10,40,14.87,-48.5%,38.43,32.93,72.25,42.32
head_trunc_tail_trunc,10,50,12.62,-56.3%,35.02,29.33,74.49,38.94
head_trunc_tail_trunc,20,10,19.97,-30.8%,43.07,40.09,70.77,47.59
head_trunc_tail_trunc,20,20,16.67,-42.3%,39.92,35.93,72.44,44.49
head_trunc_tail_trunc,20,30,13.74,-52.4%,36.5,31.33,74.79,40.88
head_trunc_tail_trunc,20,40,10.78,-62.7%,32.39,26.65,77.69,36.65
head_trunc_tail_trunc,20,50,8.55,-70.4%,29.3,23.31,79.88,33.55
head_trunc_tail_trunc,30,10,17.23,-40.3%,38.99,35.19,73.03,43.62
head_trunc_tail_trunc,30,20,14.11,-51.1%,36.26,31.49,74.11,40.34
head_trunc_tail_trunc,30,30,11.39,-60.5%,32.97,27.29,76.5,36.98
head_trunc_tail_trunc,30,40,8.57,-70.3%,28.27,21.96,80.56,31.83
head_trunc_tail_trunc,30,50,5.18,-82.1%,23.72,17.35,84.52,27.44
head_trunc_tail_trunc,40,10,13.29,-54.0%,34.45,30.19,76.21,39.5
head_trunc_tail_trunc,40,20,9.68,-66.5%,30.73,25.39,78.79,35.09
head_trunc_tail_trunc,40,30,7.7,-73.3%,27.22,21.48,81.46,31.52
head_trunc_tail_trunc,40,40,5.09,-82.4%,22.84,16.9,86.08,26.25
head_trunc_tail_trunc,40,50,1.65,-94.3%,17.8,11.38,91.1,20.79
head_trunc_tail_trunc,50,10,9.29,-67.8%,29.54,24.52,80.17,34.33
head_trunc_tail_trunc,50,20,5.93,-79.5%,25.21,19.79,83.58,29.67
head_trunc_tail_trunc,50,30,3.98,-86.2%,21.89,15.8,86.44,25.86
head_trunc_tail_trunc,50,40,1.47,-94.9%,17.15,11.1,91.45,20.38
head_trunc_tail_trunc,50,50,1.5,-94.8%,17.66,11.52,91.03,21.12
