condition,delta_s,delta_e,num_evaluated,wer,bleu4,rouge_l
clean,0.0,0.0,519,19.6690685882039,27.433411799672776,52.47051149603272
HT_05,0.05,0.0,519,20.709901254336803,26.490307319142378,51.89064215936487
TT_05,0.0,-0.05,519,20.709901254336803,26.896857735335942,51.925736534860754
HC_05,-0.05,0.0,519,21.80410995463037,24.94695393653953,50.78931396386097
TC_05,0.0,0.05,519,20.92340539097945,26.612694143461187,51.82182859405648
HT_10,0.1,0.0,519,25.753936482519347,24.71117110446634,49.5822610690558
TT_10,0.0,-0.1,519,24.472911662663464,26.180615946514223,50.92344313104942
HC_10,-0.1,0.0,519,25.46036829463571,23.78408233288126,49.810444838365825
TC_10,0.0,0.1,519,25.113424072591407,24.93250819185903,50.97692115423323
HT_15,0.15,0.0,519,30.531091539898586,22.128168615530328,47.09285222026297
TT_15,0.0,-0.15,519,28.92981051507873,24.66100061620149,49.609339095417084
HC_15,-0.15,0.0,519,29.436882839605016,22.727051498143005,48.70410344108706
TC_15,0.0,0.15,519,31.571924206031493,23.006836937012086,49.53456252291977
HT_20,0.2,0.0,519,35.22818254603683,20.45733747106619,44.68828461742529
TT_20,0.0,-0.2,519,33.62690152121697,23.20985470874275,48.50121658471127
HC_20,-0.2,0.0,519,34.641046170269554,20.24334323062148,46.43455134793335
TC_20,0.0,0.2,519,37.84360821990926,21.71593840418695,48.438518578180044
HT_25,0.25,0.0,519,39.68508139845209,18.914589002441797,42.62293148710389
TT_25,0.0,-0.25,519,38.24392847611423,21.42099766375223,46.70430266288666
HC_25,-0.25,0.0,519,38.8310648518815,19.362842358940274,44.95662049748194
TC_25,0.0,0.25,519,42.46063517480651,20.964908349926887,47.48330705519248
HT_30,0.3,0.0,519,43.7416599946624,17.472291769556737,39.87500251332271
TT_30,0.0,-0.3,519,42.247131038163865,19.903645400921874,45.00722837628045
HC_30,-0.3,0.0,519,43.95516413130505,17.671314722403395,42.98684707566455
TC_30,0.0,0.3,519,48.38537496663998,19.253424063569927,44.68001117269374
HT_35,0.35,0.0,519,48.11849479583667,16.5089263034679,38.84185482542533
TT_35,0.0,-0.35,519,45.52975713904457,19.150295965732635,44.113914061395
HC_35,-0.35,0.0,519,48.305310915398984,17.248005601432972,42.02084658757418
TC_35,0.0,0.35,519,53.856418468107826,18.209692276021073,43.54768918171633
HT_40,0.4,0.0,519,52.81558580197492,15.254276559596658,36.6412105562108
TT_40,0.0,-0.4,519,50.09340805978116,17.504863354388284,41.97748819951205
HC_40,-0.4,0.0,519,53.37603416066187,16.510634667315262,40.85370743751877
TC_40,0.0,0.4,519,58.42006938884441,16.99127426014357,41.773633223206765
HT_45,0.45,0.0,519,56.71203629570323,14.215722004014435,34.82606691151164
TT_45,0.0,-0.45,519,54.12329863891113,16.482592936526697,41.19714582795696
HC_45,-0.45,0.0,519,57.032292500667204,14.984506562558797,39.05589570141928
TC_45,0.0,0.45,519,61.99626367760875,16.057984427549673,39.9828778899094
HT_50,0.5,0.0,519,61.24899919935949,11.984271850538192,32.27231001148391
TT_50,0.0,-0.5,519,58.740325593808386,14.784127886135634,39.242515912510925
HC_50,-0.5,0.0,519,61.435815318921804,14.845803982551752,37.85812171977869
TC_50,0.0,0.5,519,66.50653856418468,15.317105313997386,38.70720201757291
